einwohner	plz	qkm	geometry
6295	66128	8.527151	POLYGON ((6.8777882 49.2133436, 6.8985632 49.2220943, 6.9113966 49.2244944, 6.9114371 49.2262972, 6.9067645 49.2259205, 6.9074809 49.2333356, 6.9034404 49.2329687, 6.8962215 49.2450631, 6.9081308 49.2462108, 6.9180128 49.2438254, 6.946428300000001 49.236816, 6.9420298 49.236965, 6.9443566 49.23463, 6.9382298 49.2224477, 6.9187594 49.222736, 6.9114077 49.2150005, 6.9004368 49.2135965, 6.8926111 49.2088272, 6.8777882 49.2133436))
3362	66129	4.421518	POLYGON ((7.0295099 49.1766656, 7.0350314 49.1914361, 7.0397347 49.1908121, 7.0497357 49.1958334, 7.0493285 49.1918336, 7.0595866 49.1797356, 7.0721526 49.18138690000001, 7.0761568 49.179115, 7.0899334 49.17939230000001, 7.0755637 49.1721922, 7.0695153 49.1769646, 7.064012 49.1736315, 7.0559883 49.1772138, 7.0441007 49.1727807, 7.0295099 49.1766656))
11100	66130	18.176695	POLYGON ((7.0185227 49.2205446, 7.0266076 49.2190739, 7.0281991 49.22107150000001, 7.0358889 49.2176349, 7.0422618 49.2212325, 7.0469835 49.220068, 7.0537432 49.2169326, 7.0543341 49.2104575, 7.0596222 49.2068043, 7.0656713 49.2085054, 7.0684573 49.2134641, 7.0768237 49.214097, 7.0888322 49.2013873, 7.1132383 49.1914994, 7.1058458 49.1856719, 7.111997500000001 49.176195, 7.0975859 49.1814833, 7.0899334 49.17939230000001, 7.0761568 49.179115, 7.0721526 49.18138690000001, 7.0595866 49.1797356, 7.0493285 49.1918336, 7.0497357 49.1958334, 7.0397347 49.1908121, 7.0350314 49.1914361, 7.023902900000001 49.1889037, 7.0215876 49.1932125, 7.0252766 49.1934293, 7.026166900000001 49.19702610000001, 7.0183865 49.204956, 7.0234088 49.2117603, 7.0185227 49.2205446))
3553	66131	15.376703	POLYGON ((7.0768237 49.214097, 7.082791300000001 49.21201850000001, 7.090573 49.2156265, 7.098484 49.2285833, 7.101092 49.24329550000001, 7.089059 49.2458262, 7.1035219 49.25595, 7.1082128 49.2563988, 7.1220235 49.2459087, 7.1303471 49.2452537, 7.1292496 49.2403547, 7.1223923 49.22226280000001, 7.1266127 49.21630750000001, 7.1307812 49.218302, 7.1362574 49.21697540000001, 7.1380203 49.2128541, 7.1359292 49.2106544, 7.1288784 49.212043, 7.1278176 49.2067866, 7.1172421 49.19832550000001, 7.1182381 49.1928963, 7.1132383 49.1914994, 7.0888322 49.2013873, 7.0768237 49.214097))
4042	66132	7.879479	POLYGON ((7.0469835 49.220068, 7.0525331 49.2229057, 7.0522536 49.2258055, 7.0636011 49.2248979, 7.0706122 49.2275077, 7.0773692 49.2316586, 7.0778769 49.2370207, 7.089059 49.2458262, 7.101092 49.24329550000001, 7.098484 49.2285833, 7.090573 49.2156265, 7.082791300000001 49.21201850000001, 7.0768237 49.214097, 7.0684573 49.2134641, 7.0656713 49.2085054, 7.0596222 49.2068043, 7.0543341 49.2104575, 7.0537432 49.2169326, 7.0469835 49.220068))
4086	66133	7.064473	POLYGON ((7.0437258 49.2436858, 7.0445946 49.2499687, 7.0540247 49.2575287, 7.0512124 49.2630219, 7.0626344 49.2614383, 7.0689489 49.2554081, 7.0764802 49.2583623, 7.0832078 49.255897, 7.079444 49.2498031, 7.089059 49.2458262, 7.0778769 49.2370207, 7.0715173 49.2357101, 7.065405 49.2292441, 7.0521563 49.2280436, 7.0538461 49.24104490000001, 7.0437258 49.2436858))
18189	66265	40.071957	POLYGON ((6.9221459 49.368019, 6.9314141 49.3676348, 6.9318892 49.3752775, 6.937964300000001 49.3728668, 6.9371654 49.3767424, 6.9441994 49.3776043, 6.949818600000001 49.3736187, 6.956566700000001 49.3738967, 6.9573886 49.3648669, 6.9645929 49.35647980000001, 7.0000185 49.3590194, 7.010563 49.3599543, 7.0154683 49.3571616, 7.0208045 49.3591984, 7.0142605 49.3498874, 7.017144500000001 49.3499417, 7.0143902 49.345692, 7.018113600000001 49.3404883, 7.0011096 49.3311104, 7.0026931 49.3234967, 6.9991748 49.325139, 6.9918604 49.3220676, 6.9894684 49.3185717, 6.983356 49.319977, 6.978045 49.3240094, 6.9676274 49.3203788, 6.9622371 49.3247352, 6.9572044 49.32344530000001, 6.9468878 49.3269091, 6.9372051 49.3222241, 6.9232722 49.3274338, 6.9225983 49.3313979, 6.913469800000001 49.3307585, 6.9011622 49.3251653, 6.8769917 49.3266872, 6.8751111 49.3267517, 6.8804402 49.3309147, 6.8802381 49.3356134, 6.8717112 49.3445666, 6.8631982 49.3470016, 6.8782729 49.346349, 6.9035963 49.3552879, 6.9221459 49.368019))
11419	66271	27.210866	POLYGON ((7.0295099 49.1766656, 7.0441007 49.1727807, 7.0559883 49.1772138, 7.064012 49.1736315, 7.0695153 49.1769646, 7.0755637 49.1721922, 7.0899334 49.17939230000001, 7.0975859 49.1814833, 7.111997500000001 49.176195, 7.126998400000001 49.1772103, 7.1293801 49.1725196, 7.1079638 49.1635778, 7.1009938 49.1555261, 7.0906867 49.1518774, 7.0839923 49.15342260000001, 7.0803587 49.1489623, 7.0895426 49.1303434, 7.0721241 49.1243568, 7.0666026 49.1142815, 7.0520348 49.1129465, 7.0445087 49.1194793, 7.0468186 49.1369703, 7.0321156 49.1569177, 7.0332945 49.1636711, 7.027756 49.1702834, 7.0295099 49.1766656))
16605	66280	16.058006	POLYGON ((7.0324296 49.2961108, 7.0431735 49.3018352, 7.035324 49.3080144, 7.0478249 49.3152215, 7.0543434 49.3155598, 7.0675771 49.3125591, 7.0784313 49.3209592, 7.0847833 49.3201878, 7.0891091 49.3160592, 7.106062000000001 49.3156958, 7.1168495 49.3098952, 7.1116207 49.3056555, 7.098128600000001 49.3017379, 7.095721 49.3035837, 7.0907537 49.2996321, 7.0928074 49.2971334, 7.0827964 49.2945626, 7.0864981 49.2821447, 7.0784557 49.280647, 7.0802152 49.2752789, 7.0620746 49.2717948, 7.0542996 49.286922, 7.0324296 49.2961108))
13504	66287	20.329491	POLYGON ((6.9918604 49.3220676, 6.9991748 49.325139, 7.0026931 49.3234967, 7.0011096 49.3311104, 7.018113600000001 49.3404883, 7.0143902 49.345692, 7.017144500000001 49.3499417, 7.023342 49.3502608, 7.0281416 49.3479835, 7.0427254 49.34959500000001, 7.0470814 49.3428767, 7.0523232 49.345354, 7.0602949 49.3427953, 7.061843900000001 49.3307889, 7.0594846 49.3196496, 7.0543434 49.3155598, 7.0478249 49.3152215, 7.035324 49.3080144, 7.0431735 49.3018352, 7.0324296 49.2961108, 7.014515 49.2832669, 7.0038243 49.2865388, 7.0124386 49.29026390000001, 7.0124909 49.2950113, 7.0166324 49.2953195, 7.0071206 49.3023387, 7.0067826 49.3115752, 6.9918604 49.3220676))
14764	66292	14.667624	POLYGON ((6.9011622 49.3251653, 6.913469800000001 49.3307585, 6.9225983 49.3313979, 6.9232722 49.3274338, 6.9372051 49.3222241, 6.9468878 49.3269091, 6.9572044 49.32344530000001, 6.9622371 49.3247352, 6.9676274 49.3203788, 6.978045 49.3240094, 6.983356 49.319977, 6.9696045 49.314263, 6.967731 49.3047846, 6.9586104 49.2974266, 6.9559517 49.2897498, 6.953638 49.2912636, 6.946239000000001 49.28625360000001, 6.9328205 49.2867154, 6.9319108 49.2826669, 6.9242285 49.2825695, 6.9195744 49.2851852, 6.928600300000001 49.2919099, 6.9212696 49.2972071, 6.9281752 49.3035053, 6.9243511 49.3054316, 6.9291187 49.3140424, 6.9101171 49.3172791, 6.9011622 49.3251653))
10377	66299	8.999188	POLYGON ((7.0543434 49.3155598, 7.0594846 49.3196496, 7.061843900000001 49.3307889, 7.0710404 49.32892880000001, 7.0751338 49.3444011, 7.0865545 49.3467799, 7.0938972 49.33753, 7.0999193 49.3406665, 7.101031100000001 49.3378289, 7.1146049 49.3372628, 7.1143692 49.3340823, 7.1058824 49.33185450000001, 7.113356800000001 49.3231012, 7.106062000000001 49.3156958, 7.0891091 49.3160592, 7.0847833 49.3201878, 7.0784313 49.3209592, 7.0675771 49.3125591, 7.0543434 49.3155598))
38818	66333	67.021856	POLYGON ((6.7232312 49.2189017, 6.7389839 49.2282939, 6.7397428 49.2263061, 6.7671489 49.2228115, 6.7820068 49.2279849, 6.792102200000001 49.2360656, 6.7937243 49.23341810000001, 6.7984076 49.2335906, 6.7973969 49.23985400000001, 6.8108097 49.2407945, 6.8233599 49.2555419, 6.8326075 49.2582926, 6.8336754 49.2559498, 6.8382887 49.2568657, 6.8204228 49.2698188, 6.8247047 49.2742608, 6.8555329 49.27217340000001, 6.8768178 49.2740003, 6.883787100000001 49.2652453, 6.892360200000001 49.2663896, 6.9042182 49.2627375, 6.9111163 49.2525652, 6.9081308 49.2462108, 6.8962215 49.2450631, 6.8862583 49.2429752, 6.8901319 49.241691, 6.8873519 49.2414878, 6.8883675 49.2370113, 6.8787485 49.2291675, 6.8599415 49.2318116, 6.8545546 49.2289299, 6.8486307 49.2327247, 6.835849000000001 49.2278094, 6.8276387 49.221709, 6.8326111 49.2140542, 6.824546500000001 49.2149341, 6.8009538 49.1989367, 6.8018537 49.1924496, 6.7946601 49.1924382, 6.7758815 49.184483, 6.7900889 49.1660842, 6.780030900000001 49.168426, 6.7385568 49.1636722, 6.7204236 49.1752618, 6.7112786 49.1884036, 6.7315126 49.2059608, 6.7232312 49.2189017))
19204	66346	23.928854	POLYGON ((6.8569497 49.2857989, 6.8669299 49.2902798, 6.859774700000001 49.2945809, 6.863381500000001 49.2970784, 6.8678436 49.2916857, 6.8796168 49.3011388, 6.8755924 49.3108156, 6.8828437 49.3165059, 6.8734818 49.3234882, 6.8769917 49.3266872, 6.9011622 49.3251653, 6.9101171 49.3172791, 6.9291187 49.3140424, 6.9243511 49.3054316, 6.9281752 49.3035053, 6.9212696 49.2972071, 6.928600300000001 49.2919099, 6.9195744 49.2851852, 6.9242285 49.2825695, 6.926505300000001 49.2802067, 6.9159826 49.2753514, 6.9042182 49.2627375, 6.892360200000001 49.2663896, 6.883787100000001 49.2652453, 6.8768178 49.2740003, 6.8555329 49.27217340000001, 6.8569497 49.2857989))
8349	66352	25.280512	POLYGON ((6.8326111 49.2140542, 6.837072600000001 49.2127518, 6.8521257 49.2002128, 6.8501175 49.1932369, 6.8618825 49.1818272, 6.8591839 49.174613, 6.844514 49.1730381, 6.8473818 49.15717110000001, 6.834175300000001 49.1512816, 6.7900889 49.1660842, 6.7758815 49.184483, 6.7946601 49.1924382, 6.8018537 49.1924496, 6.8009538 49.1989367, 6.824546500000001 49.2149341, 6.8326111 49.2140542))
7099	66359	7.61248	POLYGON ((6.774695 49.277692, 6.7802763 49.27899450000001, 6.7832578 49.2860091, 6.78693 49.2870283, 6.7928911 49.2835458, 6.8218318 49.2868343, 6.8272196 49.2831181, 6.8433471 49.2857803, 6.8517279 49.2820268, 6.8569497 49.2857989, 6.8555329 49.27217340000001, 6.8247047 49.2742608, 6.8204228 49.2698188, 6.780491400000001 49.2739741, 6.774695 49.277692))
